name,@lat,@lon
Flying Star,35.1322505,-106.5164962
Il Vicino,35.0802656,-106.6067720
Flying Star,35.0797736,-106.6061521
Cafe Istanbul,35.0953302,-106.5500502
Thai Tip,35.0967500,-106.5502408
Il Vicino,35.1315561,-106.5142962
Mr. Sushi,35.1094581,-106.5150789
The Range Café,35.1299520,-106.5513368
M'Tucci's Bar Roma,35.0800666,-106.6085690
Pars Cuisine,35.1434619,-106.5938844
Denny's,35.0795045,-106.7455730
Golden Chopstix,35.1526871,-106.4993626
Mykono's,35.1481446,-106.5267811
V Wang Cafe,35.0805353,-106.6238820
,35.1732484,-106.5589764
Flying Star,35.1737636,-106.5593170
Papa Frank's,35.0927529,-106.6485507
Sushiya,35.1147832,-106.5139833
Seasons,35.0990549,-106.6688784
Cocina Azul,35.0954684,-106.6587076
Marisco's Alta Mar,35.0847160,-106.6879944
Pizza Hut,35.0751097,-106.5950790
IHOP,35.1088257,-106.5609760
Thai Heritage and Vegan,35.0793210,-106.6019316
Caesar's Mexican & Greek,35.0871339,-106.5855846
Taj Mahal,35.0962557,-106.6039149
Yeller Sub,35.1304806,-106.5641350
Scalo,35.0796441,-106.6054390
The Farmacy,35.0793551,-106.6023522
Poki Poki Cevicheria,35.0797508,-106.6060001
Orchid Thai,35.0786704,-106.5962455
Hurricane's Restaurant and Drive-In,35.0870751,-106.5962621
Fan-Tang,35.0800169,-106.6047722
IHOP,35.1351243,-106.6111190
Artichoke Cafe,35.0831830,-106.6424080
2000 Vietnam Restaurant,35.0726139,-106.5867030
Peter Piper Pizza,35.1175032,-106.5869940
The Melting Pot,35.1021479,-106.5663500
Shogun Sushi,35.0800550,-106.6078848
Barelas Coffee House,35.0709830,-106.6540475
Delicias Cafe,35.1453886,-106.5882122
Pizza Hut,35.1537863,-106.6943156
Applebee's,35.1087581,-106.6132591
Diego's New Mexican Fusion,35.0844290,-106.6517899
Saggio's,35.0804767,-106.6198079
El Zarandeado,35.0763800,-106.5748873
Cecilia's Cafe,35.0829797,-106.6542295
La Fonda del Bosque,35.0684026,-106.6556336
Lindy's Diner,35.0845839,-106.6529874
Olympia Cafe,35.0808389,-106.6213546
Dion's Pizza,35.0590930,-106.6301990
Il Vicino,35.2044169,-106.6482250
Los Cuates,35.1087846,-106.5457270
Garcia's,35.1233396,-106.5160881
Mario's Pizzeria & Ristorante,35.1056373,-106.5780370
Zorba's,35.1316039,-106.5141932
Jason's Deli,35.1003321,-106.5697590
Sakura Sushi and Grill,35.1283869,-106.5505775
Flamez Burgers and More,35.1312354,-106.5309158
St. Clair Winery & Bistro,35.1027737,-106.6710973
Flying Star,35.1381859,-106.6678625
Pizza 9,35.0832521,-106.6483925
Nick & Jimmy's,35.1417484,-106.5975085
Richard's Mexican Restaurant,35.1098859,-106.6086724
Farina,35.0831570,-106.6418250
McAlister's Deli,35.1025569,-106.5683924
California Pizza Kitchen,35.1029084,-106.5675370
Pasión Latin Fusion,35.0913366,-106.6550991
M'tucci's Twenty Five,35.1399553,-106.5999539
Tia Betty Blue's,35.0622718,-106.5860163
The Grove Cafe,35.0829412,-106.6404030
Japanese Kitchen Sushi Bar,35.1008704,-106.5707315
India Palace,35.1298683,-106.5500343
Bull Chicks,35.1291664,-106.5505171
,35.0652359,-106.5784446
Duran House,35.1094607,-106.5968446
,35.0967380,-106.6621510
Le Peep Restaurant,35.1012376,-106.5692948
Plum Cafe Asian Grill,35.1404604,-106.6000848
Sushi King,35.1403902,-106.6001754
High Noon Restaurant & Saloon,35.0982934,-106.6694916
Buffet King,35.1468456,-106.5836275
The Savoy,35.1310088,-106.5198903
Cervantes,35.0585894,-106.5772543
Thai Cuisine II,35.0791794,-106.5973967
Thai Street,35.1424896,-106.5861152
Grandma Warner's K&I Diner,35.0563769,-106.6447750
The Daily Grind,35.1047999,-106.5969243
Buffalo Wild Wings,35.0589475,-106.6285020
Monte Vista Fire Station,35.0806959,-106.6093974
Yanni's,35.0807772,-106.6102423
Los Compadres,35.0950828,-106.6772482
Slice Parlor,35.0798709,-106.6064857
Ajiaco Colombian Bistro,35.0789621,-106.6088440
P'tit Louis Bistro,35.0789580,-106.6087067
Bob's Burgers,35.0766885,-106.5328149
Rudy's Country Store & Bar-B-Q,35.2012080,-106.6481337
Hong Kong Buffet,35.1989025,-106.6499580
Zinc Wine Bar and Bistro,35.0808904,-106.6114752
El Patio,35.0794053,-106.6206168
Farina Alto,35.1310194,-106.5180933
Pupuseria y Restaurant Salvadoreno,35.0652029,-106.6818679
2G's Bistro,35.0832136,-106.6427420
Vinaigrette,35.0922123,-106.6677324
Perico's Burritos & Tacos,35.1140848,-106.6991256
El Dorado Bakery,35.0610650,-106.6455392
Loyola's,35.0783955,-106.5941150
Piatanzi,35.0985241,-106.6133346
Gyros Mediterranean,35.0805208,-106.6193572
Red Rock Deli,35.0868640,-106.5020370
Denny's,35.0589706,-106.6294210
Thai Vegan,35.1454277,-106.5851071
Salathai,35.0803294,-106.6036814
Frank's Famous Chicken & Waffles,35.0755151,-106.5951480
,35.0784253,-106.5885540
Stripes & Burritos Co,35.0587136,-106.5833970
Vick's Vittles,35.0734209,-106.5490300
Pho 79,35.1146062,-106.6220098
Budai Gourmet Chinese,35.1496257,-106.5845774
Holy Cow,35.0826827,-106.6396887
5 Star Burgers,35.0911609,-106.6660599
Red Lobster,35.1319370,-106.5784328
Outtakes,35.0848210,-106.6165400
Christy Mae's Restaurant,35.0911132,-106.5773450
Annapurna's World Vegetarian Cafe,35.0792518,-106.6219104
Standard Diner,35.0832552,-106.6437867
Szechwan Chinese Restaurant,35.0983630,-106.5160490
TOMI Sushi & Ramen,35.0985280,-106.5158979
Taco Tote! Albuquerque,35.0788636,-106.5920610
Kasbah,35.0787676,-106.5911489
Pueblo Harvest Cafe,35.1105790,-106.6586109
Le Troquet,35.0832768,-106.6505064
Cheddar's,35.1394574,-106.6009650
Bubba's 33,35.1391313,-106.6015700
Cafe Lush,35.0872831,-106.6548950
"Savory Fare Cafe, Bakery & Catering",35.1300434,-106.5636719
Triana,35.0802552,-106.6047320
Down N Dirty Seafood Boil,35.1286489,-106.5494380
Viet Taste,35.1094954,-106.5804275
El Modelo Carry Out Mexian Food,35.0683114,-106.6520316
El Modelo,35.0685461,-106.6525582
Applebee's,35.1311682,-106.5176300
Amore Neapolitan Pizzeria,35.0909974,-106.6659199
Antonio's Cafe & Cantina,35.0594465,-106.5812141
Asian Grill,35.0589489,-106.5827379
The Burrito Lady,35.0857393,-106.5313524
Weck's,35.0810280,-106.5146236
Asian Pear,35.0846103,-106.6532273
Sushi Hana,35.0850023,-106.6537850
Mak's Quick Fire Kitchen,35.0847566,-106.6521531
Holmes Pizza and Arcade,35.0825284,-106.6506330
Lulu's Kitchen,35.0836165,-106.6513137
Barbacoa El Primo,35.0739839,-106.5947398
Bea's Mexican Restaurant 2,35.0731171,-106.5517732
Banh Mi Coda,35.0739097,-106.5681630
Pizza Hut,35.0917075,-106.6539663
Pacific Paradise,35.1169347,-106.5771802
The Cheesecake Factory,35.1065706,-106.5720572
Dickey's Barbecue Pit,35.1437627,-106.5932890
99 Degrees Seafood Kitchen,35.0802428,-106.6065320
Sala Thai,35.0809850,-106.6106352
Crazy Fish,35.0808658,-106.6112792
Guava Tree Cafe,35.0812969,-106.6105809
Mesa Provisions,35.0803417,-106.6101250
The Shop,35.0816720,-106.6124770
Chili's,35.0578970,-106.6284740
Takumi Restaurant,35.1011266,-106.5654939
La Sirenita,35.0701457,-106.6224790
Rex's Burgers,35.1318459,-106.5791561
Vibrance,35.0766370,-106.5937595
Jambo Cafe,35.0904549,-106.5154390
Stripes & Burritos Co,35.0853883,-106.5154670
Chuck E. Cheese,35.1298951,-106.5492660
Weck's Select,35.1303420,-106.5171522
Burger 21,35.1008990,-106.5661421
Trombino's Bistro Italiano,35.1480829,-106.5828751
Slice & Dice Pizza,35.1075199,-106.5516203
Buen Provecho,35.0940311,-106.6773401
Sandia Crest Pizza,35.0940250,-106.6771334
Bosque Burger,35.0940300,-106.6771916
Mandarin,35.1269520,-106.6046900
Vegos,35.1264154,-106.6046283
Crackin' Crab Seafood Boil,35.0969930,-106.5638501
Thai House Restaurant,35.1012293,-106.6038305
Cinnamon Cafe,35.0796299,-106.6048858
Red Door Brewing,35.0849218,-106.6532546
Aldo's New York Style Pizzeria,35.0846141,-106.6510477
Dion's Pizza,35.0808913,-106.7112855
Forque,35.0864635,-106.6510939
Anatolia,35.0846293,-106.6511313
JC's New York Pizza Department,35.0845019,-106.6498720
Asia Noodle Bar,35.0843658,-106.6512248
Capo's,35.0850196,-106.6562228
La Mexicana,35.0801539,-106.6516030
,35.0824777,-106.6505070
,35.0825754,-106.6506338
Brickyard Pizza,35.0808528,-106.6211374
Bandido Hideout,35.0808445,-106.6226595
O Ramen,35.0808514,-106.6231835
